UC,LATITUDE,LONGITUDE
71858504,-24.09846,-54.23843
92733840,-25.34316,-54.23832
23910194,-25.34485,-54.23587
103785558,-24.09378,-54.23572
74064460,-24.70965,-54.23521
19745710,-25.35469,-54.2352
84983981,-24.10783,-54.23371
64550672,-24.64162,-54.23353
104684720,-24.69047,-54.23311
43814166,-25.33698,-54.23247
97837350,-25.07177,-54.23182
19729944,-25.09859,-54.23133
100479286,-25.34395,-54.23024
53365216,-24.99945,-54.22925
97252573,-24.62905,-54.22919
55058736,-24626,-54.22885
90660382,-24.62581,-54.22723
90444582,-24.6248,-54.22701
96732636,-25.36953,-54.22644
80767273,-24.62852,-54.22626
91103819,-24.71662,-54.22574
88412296,-25.17059,-54.22463
59069910,-24.62492,-54.22451
72804319,-25.36955,-54.22451
34138234,-24.97701,-54.21907
82622680,-24.99168,-54.2185
83621610,-24.64363,-54.21826
49316222,-24.99344,-54.21806
47749385,-24.62285,-54.21636
53405102,-25.47334,-54.2144
95889035,-24.60459,-54.21382
59133392,-25.3402,-54.21359
90889223,-25.39561,-54.20997
77845242,-24.08696,-54.20531
91413613,-25.3939,-54.20369
105294349,-24.19864,-54.20358
28099567,-24.19864,-54.20358
75976137,-24.63955,-54.20285
104417846,-24.97065,-54.20165
69053863,-24.63797,-54.20003
48523429,-25.33708,-54.19921
100253598,-24.10381,-54.19495
38756986,-25.40014,-54.18949
94964386,-25.18213,-54.18167
98063480,-24.26317,-54.17877
98695118,-24.25864,-54.17713
97489743,-24.26406,-54.17658
97211400,-25.19087,-54.17362
97426970,-24.26548,-54.17301
97168980,-24.26261,-54.17148
34233288,-24.64484,-54.17021
66793327,-24.07048,-54.16722
98530550,-24.45108,-54.16573
44262124,-24.08221,-54.16456
36133205,-25.31875,-54.16349
67137920,-25.31817,-54.16147
49194054,-24.31496,-54.16038
28889827,-24.46355,-54.15932
36707899,-24.40504,-54.15599
97077089,-24.14809,-54.15322
35080337,-24.29905,-54.15061
62471147,-24.46523,-54.1494
55772838,-24.44911,-54.14815
91677092,-24.35274,-54.1452
79446850,-24.47165,-54.14168
80964460,-25.3084,-54.14027
49269585,-24.3266,-54.14025
81293739,-24.22083,-54.13809
103202820,-24.47555,-54.13741
91992753,-24.50146,-54.13579
57446300,-24.55347,-54.12982
38370492,-24.20771,-54.12383
86822233,-24.64535,-54.1236
97934658,-25.30079,-54.11729
22372580,-25.30144,-54.11427
56632070,-24.54624,-54.11244
80533256,-24.84638,-54.11158
28286332,-25.29317,-54.10791
84759542,-25.28767,-54.10698
100773648,-25.28746,-54.10653
32473630,-24167,-54.10407
19453051,-25.28672,-54.10345
73696595,-24.94564,-54.1025
95843892,-24.51929,-54.10215
57451958,-24.55783,-54.1021
92117783,-24.15704,-54.10178
11325470,-24.15526,-54.10141
93267070,-24159,-54.10103
88778215,-24.15789,-54.10089
85818984,-24.94232,-54.10078
48942120,-24.15841,-54.10073
70512086,-24.16195,-54.10059
43424627,-25.29747,-54.10057
64424022,-24.16912,-54.1
69922675,-25.29625,-54.0998
19453060,-25.28147,-54.09856
94404453,-25.28805,-54.09805
59068396,-24.1699,-54.09749
95585257,-25.29253,-54.09744
30018820,-25.28935,-54.09732
95713760,-25.29734,-54.09732
47021802,-25.28307,-54.09696
96726342,-24.15862,-54.09678
81881851,-25.28511,-54.09653
10244379,-25.28654,-54.0961
71984470,-25.29628,-54.09584
30086868,-25.29361,-54.0952
94204306,-24.3506,-54.09517
105276839,-25.27232,-54.09497
84634790,-25.29822,-54.09477
83093702,-25.29979,-54.09458
44899130,-25.29046,-54.09392
80760791,-25.29923,-54.0939
30729360,-25.30521,-54.09235
101081170,-24.33401,-54.09207
73359394,-25.3087,-54.09154
92971768,-25.2943,-54.09067
92971385,-25.2943,-54.09067
89683595,-25.29688,-54.09064
47103027,-25.30877,-54.08996
43815367,-24.57211,-54.08965
82175659,-24.59095,-54.08944
36328278,-25.31121,-54.08893
32866011,-25.30814,-54.08875
45920818,-24.57879,-54.08775
100937667,-25.29039,-54.08723
99199882,-24.87461,-54.08611
42032105,-24.56924,-54.08597
35772697,-25.30424,-54.08596
95640088,-24.35331,-54.08524
94980560,-24.59439,-54.08382
68904401,-25.29934,-54.08264
91632480,-24.55669,-54.08152
79121314,-24.5156,-54.08053
28528646,-25.29103,-54.07994
48390607,-25.28059,-54.07863
44350066,-25.30007,-54.07722
57155704,-25.27668,-54.07443
92648037,-24.55829,-54.07436
59090138,-24.5234,-54.0724
45507104,-24.51705,-54.0722
28301129,-24.83279,-54.07094
75890380,-25.30199,-54.0704
94980420,-24.59143,-54.0696
98279831,-25.27373,-54.06926
76421686,-25.42047,-54.06918
97974889,-24.21842,-54.06899
94732051,-25.27526,-54.06813
10085327,-24.55723,-54.06617
46359192,-24.56275,-54.06524
76287475,-25.27987,-54.06499
102847452,-25.27076,-54.06382
44512422,-24.52946,-54.06346
10085459,-24567,-54.06324
102331758,-24.56206,-54.0628
94980330,-24.59284,-54.0628
54708087,-24.56336,-54.06238
26080338,-24.55097,-54.06178
34586750,-24.5418,-54.06137
100609333,-24.56017,-54.06116
98583190,-24.69089,-54.06092
10041818,-24.56267,-54.06091
94073058,-24.55305,-54.06017
26675994,-24.55969,-54.06009
101123191,-24.69172,-54.0599
