estacao,operadora,municipio,latitude_antena,longitude_antena,tecs
1000183162,Vivo,Curitiba,-25.46278,-49.26111,4G
1000183170,Vivo,Curitiba,-25.40611,-49.26278,4G
1000183197,Vivo,Curitiba,-25.45583,-49.23361,4G
1000183227,Vivo,Curitiba,-25.43528,-49.35417,4G
1000183251,Vivo,Curitiba,-25.40583,-49.19861,4G
1000183278,Vivo,Curitiba,-25.55778,-41.25556,4G
1000183286,Vivo,Curitiba,-25.44361,-49.28306,4G
1000183308,Vivo,Curitiba,-25.55444,-49.30372,4G
1000183332,Vivo,Curitiba,-25.53806,-49.29944,4G
1000183340,Vivo,Curitiba,-25.52944,-49.32778,4G
1000183359,Vivo,Curitiba,-25.51083,-49.26167,4G
1000183367,Vivo,Curitiba,-25.49139,-49.27556,4G
1000183375,Vivo,Curitiba,-25.50556,-49.31722,4G
1000183413,Vivo,Curitiba,-25.47056,-49.23417,4G
1000183448,Vivo,Curitiba,-25.48333,-49.2925,4G
1000183529,Vivo,Curitiba,-25.37306,-49.24528,4G
1000183545,Vivo,Curitiba,-25.43083,-49.26889,4G
1000183553,Vivo,Curitiba,-25.46333,-49.28056,4G
1000183596,Vivo,Curitiba,-25.45222,-49.25111,4G
1000183626,Vivo,Curitiba,-25.4325,-49.21861,4G
1000183669,Vivo,Curitiba,-25.51278,-49.33,4G
1000185203,Vivo,Curitiba,-25.42917,-49.28472,4G
1000185211,Vivo,Curitiba,-25.45194,-49.31917,4G
1000185238,Vivo,Curitiba,-25.45444,-49.25694,4G
1000185246,Vivo,Curitiba,-25.51861,-49.22806,4G
1000185262,Vivo,Curitiba,-25.36694,-49.22639,4G
1000185270,Vivo,Curitiba,-25.51306,-49.29694,4G
1000185289,Vivo,Curitiba,-25.46306,-49.35667,4G
1000213290,Tim,Curitiba,-25.448833,-49.277667,2G 3G 4G 5G
1000213339,Tim,Braganey,-24.815833,-53.121667,3G 4G
1000213649,Tim,Goioere,-24.200225,-53.086686,3G 4G
1000213983,Tim,Cruzmaltina,-24.057133,-51.459878,3G
1000214157,Claro,Curitiba,-25.43694,-49.27972,3G  5G
1000214408,Tim,Esperanca Nova,-23.72528,-53.79833,3G 4G
1000214769,Tim,Cruzmaltina,-23.9788,-51.441264,3G
1000223458,Vivo,Curitiba,-25.548628,-49.277772,2G 3G 4G
1000223466,Vivo,Curitiba,-25.38556,-49.28056,2G 3G 4G
1000272335,Vivo,Curitiba,-25.44778,-49.27694,2G 3G 4G
1000276683,Tim,Sao Jorge Do Patrocinio,-23.754778,-53.885222,3G 4G
1000277868,Tim,Paranacity,-22.839417,-52.165528,3G
1000278414,Tim,Santa Isabel Do Ivai,-23.081667,-53.2175,3G
1000283949,Tim,Campo Largo,-25.36889,-49.50917,3G 4G
1000298296,Tim,Mandirituba,-25.877264,-49.361464,3G
1000298482,Tim,Curitiba,-25.446722,-49.274194,3G 4G
1000303133,Tim,Ampere,-25.861022,-53.515728,3G
1000305195,Tim,Sao Manoel Do Parana,-23.39361,-52.65056,3G 4G
1000305314,Tim,Carlopolis,-23.465917,-49.706972,3G 4G
1000307090,Tim,Atalaia,-23.14944,-52.06611,3G 4G
1000308364,Tim,Campina Do Simao,-25.17806,-51.76583,3G
1000308941,Tim,Cafelandia,-24.686,-53.338917,3G
1000325870,Tim,Nova Santa Barbara,-23.598222,-50.760167,3G 4G
1000364280,Tim,Engenheiro Beltrao,-23.722222,-52.178611,3G 4G
1000369100,Tim,Espigao Alto Do Iguacu,-25.312917,-52.804028,3G
1000385083,Tim,Quitandinha,-25.976389,-49.451667,3G
1000401194,Tim,Cascavel,-24.822194,-53.466778,3G
1000401445,Tim,Imbituva,-25.11167,-50.70528,3G 4G
1000401461,Tim,Candido De Abreu,-24.83333,-51.14022,3G 4G
1000401534,Tim,Cascavel,-25.142303,-53.333347,3G
1000401550,Tim,Irati,-25.566939,-50.852919,3G 4G
1000401585,Tim,Lapa,-25.716056,-49.650944,3G
1000401615,Tim,Santa Mariana,-22.95511,-50.58792,3G 4G
1000401631,Tim,Cascavel,-25.25778,-53.34056,3G 4G
1000401755,Tim,Francisco Beltrao,-25.979917,-53.004028,3G
1000401763,Tim,Toledo,-24.575972,-53.799389,3G 4G
1000401917,Tim,Candido De Abreu,-24.75472,-51.20972,3G 4G
1000401925,Tim,Astorga,-23.175,-51.681472,3G
1000402247,Tim,Astorga,-23.17278,-51.63306,3G 4G
1000402298,Tim,Toledo,-24.63139,-53.87639,3G 4G
1000423376,Vivo,Curitiba,-25.38528,-49.24722,4G
